cycle_id,winding_speed_rpm,wire_tension_N,spindle_torque_Nm,wire_diameter_mm,num_turns,winding_temp_C,tension_mean_N,tension_std_N,tension_peak_N,power_mean_W,power_std_W,temp_max_C,temp_gradient,is_anomaly,anomaly_type
CYC_0040,407.0,13.83,2.382,1.0,74,38.7,13.754,0.828,15.514,101.78,5.368,44.5,0.0792,0,normal
CYC_0041,520.5,9.82,1.705,0.3,95,54.6,9.759,0.839,11.817,90.9,4.869,57.8,0.0673,0,normal
CYC_0042,468.4,9.88,2.294,0.3,56,45.7,9.922,0.517,10.643,111.68,2.819,46.9,0.1186,0,normal
CYC_0043,368.2,10.42,3.495,1.0,60,28.2,10.478,1.52,16.504,136.53,3.783,32.3,0.1405,1,tension_spike
CYC_0044,498.0,10.4,2.491,0.5,75,34.8,9.739,0.551,11.686,127.4,4.214,42.6,0.0502,0,normal
CYC_0045,584.7,9.01,1.853,1.0,52,25.9,9.172,0.611,10.214,112.28,4.028,28.6,0.1882,0,normal
CYC_0046,322.2,13.54,2.818,1.0,84,54.6,12.867,1.221,13.479,95.77,3.158,61.9,0.1264,0,normal
CYC_0047,412.4,9.03,2.914,0.71,54,47.7,8.818,0.975,9.349,124.24,2.74,49.1,0.1095,0,normal
CYC_0048,591.0,17.5,3.178,1.0,77,38.5,17.27,1.041,17.787,198.65,5.159,46.5,0.2143,0,normal
CYC_0049,355.3,13.69,3.004,1.0,88,40.8,13.149,0.802,15.484,113.78,2.374,58.2,0.5515,1,overheating
CYC_0050,387.6,8.91,2.167,0.5,97,38.0,8.62,0.969,10.347,86.65,2.633,42.4,0.237,0,normal
CYC_0051,301.7,8.43,2.788,1.0,93,48.4,8.341,1.047,9.425,87.52,2.111,52.2,0.1771,0,normal
CYC_0052,577.4,12.93,1.713,0.71,59,54.1,12.895,0.805,14.772,103.37,6.184,57.3,0.1393,0,normal
CYC_0053,366.6,18.0,3.17,1.0,74,46.6,17.839,0.792,19.777,118.9,6.146,53.2,0.0599,0,normal
CYC_0054,857.5,12.46,1.95,1.0,71,37.8,12.26,1.301,12.871,121.38,11.294,44.8,0.1323,1,speed_instability
CYC_0055,489.9,11.46,2.68,1.0,87,40.6,11.459,1.112,12.861,137.54,3.457,44.3,0.1956,0,normal
CYC_0056,576.6,12.93,1.881,0.5,83,37.9,12.928,0.637,14.597,108.95,5.886,41.2,0.2027,0,normal
CYC_0057,315.4,13.2,3.248,1.0,83,54.6,13.423,0.928,14.392,107.78,2.736,59.3,0.1367,0,normal
CYC_0058,429.6,14.73,1.61,0.3,59,44.6,14.707,0.67,16.076,73.09,2.608,45.7,0.2208,0,normal
CYC_0059,481.9,9.21,3.113,0.3,73,44.9,9.237,0.796,11.492,153.7,4.823,47.5,0.1156,0,normal
CYC_0060,407.5,17.69,1.554,1.0,81,29.3,17.544,0.745,19.026,66.85,3.146,37.2,0.0765,0,normal
CYC_0061,692.8,14.87,3.451,1.0,69,50.5,14.521,0.904,16.502,150.2,10.899,55.9,0.1824,1,speed_instability
CYC_0062,342.0,14.06,3.037,1.0,98,28.2,14.533,0.654,15.516,106.6,4.938,30.4,0.1817,0,normal
CYC_0063,384.0,15.41,3.119,1.0,94,28.0,15.028,0.808,16.351,126.12,6.165,33.2,0.1411,0,normal
CYC_0064,449.5,17.55,2.778,0.5,88,43.9,17.75,0.776,22.418,183.87,7.252,56.3,0.1995,1,combined_stress
CYC_0065,334.8,13.23,1.944,1.0,79,40.0,13.529,0.873,15.883,65.64,2.873,42.4,0.0893,0,normal
CYC_0066,432.0,8.81,2.765,0.71,90,30.6,9.01,1.025,10.856,124.32,2.89,34.9,0.1791,0,normal
CYC_0067,346.4,10.42,1.663,0.5,54,35.3,10.27,1.445,11.137,117.47,7.012,43.0,0.0623,1,power_surge
CYC_0068,393.5,17.86,1.671,1.0,76,28.9,17.949,0.768,19.538,66.52,2.868,31.6,0.1048,0,normal
CYC_0069,493.6,10.69,1.631,0.71,94,31.1,10.71,0.728,12.713,84.6,3.575,34.2,0.1565,0,normal
CYC_0070,423.8,13.86,2.664,0.71,51,54.7,13.796,0.985,15.273,117.7,6.488,58.7,0.2003,0,normal
CYC_0071,497.6,14.28,2.895,0.3,67,49.6,14.627,0.714,16.985,151.74,5.178,51.0,0.226,0,normal
CYC_0072,442.0,11.01,2.196,0.5,73,28.2,10.761,0.58,12.99,101.47,3.575,32.2,0.2427,0,normal
CYC_0073,495.0,11.98,2.859,0.71,98,47.9,11.624,0.456,14.002,152.13,6.99,51.4,0.1606,0,normal
CYC_0074,309.2,11.24,3.385,0.71,73,32.1,10.696,0.807,11.571,109.96,2.457,35.2,0.098,0,normal
CYC_0075,352.0,17.65,3.255,0.3,91,51.9,18.351,0.891,20.347,119.46,3.713,55.9,0.244,0,normal
CYC_0076,517.8,8.63,3.49,0.3,93,36.4,8.568,0.54,10.864,191.56,4.992,41.0,0.1025,0,normal
CYC_0077,407.8,9.87,2.209,0.71,68,51.1,9.576,0.75,10.23,93.24,5.159,56.4,0.2345,0,normal
CYC_0078,596.1,17.63,3.392,0.5,79,33.7,17.723,0.758,20.096,208.8,10.569,41.7,0.0638,0,normal
CYC_0079,394.9,8.89,1.767,0.71,59,42.5,9.259,2.647,13.536,68.62,3.217,45.2,0.1618,1,tension_spike
CYC_0080,866.9,10.18,2.799,0.5,85,49.6,10.05,1.458,10.804,169.97,7.509,51.2,0.1467,1,speed_instability
CYC_0081,595.7,16.77,2.338,0.3,88,39.6,16.871,0.582,18.229,148.68,5.364,45.1,0.1983,0,normal
CYC_0082,399.3,12.55,1.539,0.3,61,41.8,12.376,0.652,13.695,61.9,2.663,46.2,0.1786,0,normal
CYC_0083,739.5,12.11,2.721,0.3,78,35.6,12.682,1.313,14.388,131.27,10.008,40.0,0.1853,1,speed_instability
CYC_0084,453.6,11.97,2.965,1.0,60,50.6,11.676,0.81,13.967,138.51,4.924,57.9,0.0932,0,normal
CYC_0085,514.4,9.81,3.411,0.3,93,53.0,10.151,1.064,11.134,182.63,10.745,57.6,0.107,0,normal
CYC_0086,335.9,12.56,2.945,0.71,95,36.9,12.526,0.838,14.789,101.75,5.076,41.9,0.086,0,normal
CYC_0087,402.3,12.59,2.168,0.3,53,29.9,13.279,0.91,14.9,89.18,3.681,36.2,0.1915,0,normal
CYC_0088,605.2,9.39,1.813,0.3,93,34.3,8.956,1.446,10.909,70.33,7.808,39.2,0.1715,1,speed_instability
CYC_0089,307.6,12.72,1.948,0.3,63,53.7,13.004,0.891,14.658,63.04,1.463,57.6,0.0713,0,normal
CYC_0090,510.6,17.69,1.937,1.0,70,48.9,17.206,0.68,18.979,103.49,6.021,56.1,0.1981,0,normal
CYC_0091,509.0,13.43,2.184,0.3,66,36.7,13.42,0.879,15.595,116.25,4.705,40.1,0.1392,0,normal
CYC_0092,435.0,13.45,2.015,0.5,64,43.8,13.46,0.858,14.365,91.14,2.957,58.9,0.2966,1,overheating
CYC_0093,437.5,10.48,2.17,1.0,70,48.4,10.362,0.741,10.969,97.74,4.321,55.5,0.1102,0,normal
CYC_0094,586.5,13.74,2.81,0.71,85,39.6,13.736,0.752,14.496,175.86,3.8,47.5,0.1464,0,normal
CYC_0095,416.8,12.43,2.146,0.71,95,51.7,12.434,0.623,16.559,143.07,3.036,64.6,0.0919,1,combined_stress
CYC_0096,313.6,13.44,2.817,1.0,75,41.5,13.355,0.77,15.269,91.56,3.452,47.5,0.1651,0,normal
CYC_0097,518.9,8.45,2.805,0.5,70,27.6,8.684,1.015,9.504,150.66,4.377,32.7,0.2148,0,normal
CYC_0098,518.7,17.93,1.812,0.5,98,28.1,18.321,0.897,19.424,94.51,4.438,35.8,0.1693,0,normal
CYC_0099,452.7,8.49,1.712,0.71,51,37.6,8.756,0.848,10.718,77.75,2.931,50.7,0.4969,1,overheating
CYC_0100,355.0,12.48,2.538,1.0,79,31.6,12.638,1.001,14.967,94.1,4.441,35.3,0.0994,0,normal
CYC_0101,555.9,12.98,1.543,1.0,96,45.5,13.238,0.726,15.555,89.19,4.482,52.5,0.0884,0,normal
CYC_0102,786.4,13.26,2.428,0.5,82,38.8,13.47,1.194,14.627,144.41,9.947,41.7,0.1974,1,speed_instability
CYC_0103,387.4,15.52,2.17,1.0,87,33.2,15.303,0.838,17.25,88.66,4.246,38.9,0.0526,0,normal
CYC_0104,498.1,8.66,3.224,1.0,58,35.5,8.531,1.164,9.111,172.15,4.663,38.8,0.1762,0,normal
CYC_0105,304.3,14.65,1.662,1.0,82,46.5,14.452,0.875,14.981,54.43,3.158,47.5,0.1721,0,normal
CYC_0106,326.5,8.11,1.573,0.5,60,31.0,8.193,0.838,9.77,54.88,1.54,37.1,0.0717,0,normal
CYC_0107,459.4,8.52,3.438,0.3,70,39.4,8.164,0.935,8.742,164.83,5.91,43.5,0.059,0,normal
CYC_0108,489.3,10.52,3.158,0.5,85,51.0,10.474,1.197,11.942,163.44,9.139,53.1,0.2406,0,normal
CYC_0109,527.4,16.15,2.492,1.0,99,43.3,16.23,0.598,17.194,139.93,7.331,45.8,0.2326,0,normal
CYC_0110,336.0,17.97,3.469,0.5,86,31.9,18.164,0.907,20.129,124.38,5.853,35.9,0.1014,0,normal
CYC_0111,510.9,10.47,3.329,0.5,57,45.4,10.501,0.68,11.333,178.53,5.513,48.3,0.1348,0,normal
CYC_0112,308.1,16.67,2.763,1.0,80,46.5,16.353,0.824,18.41,155.4,10.124,52.7,0.2346,1,power_surge
CYC_0113,312.2,16.77,1.652,0.71,55,28.7,16.42,0.954,18.445,53.07,1.244,34.9,0.1187,0,normal
CYC_0114,535.6,13.5,3.34,1.0,80,44.2,13.647,1.074,15.575,186.84,5.959,47.5,0.2276,0,normal
CYC_0115,543.2,12.6,1.713,0.71,85,42.2,12.257,1.026,12.826,150.41,6.413,43.5,0.1135,1,power_surge
CYC_0116,401.4,10.58,1.679,0.71,85,28.6,10.44,0.877,11.322,69.94,3.083,32.5,0.2445,0,normal
CYC_0117,590.0,14.79,1.549,0.71,64,50.1,15.177,0.942,17.458,95.4,4.486,57.8,0.2024,0,normal
CYC_0118,307.3,10.42,2.95,0.71,60,46.1,10.616,0.719,12.68,94.72,4.553,48.0,0.1106,0,normal
CYC_0119,356.0,16.11,3.397,0.5,93,46.9,15.422,0.851,17.276,124.26,5.288,49.2,0.2269,0,normal
CYC_0120,310.3,11.74,1.856,1.0,59,48.1,11.663,0.946,13.84,63.02,3.752,51.1,0.0675,0,normal
CYC_0121,497.3,9.85,2.895,0.71,94,34.5,9.633,1.076,10.27,148.33,4.353,36.2,0.1771,0,normal
CYC_0122,507.3,9.47,2.69,0.5,68,38.4,9.598,0.657,10.134,140.98,3.365,45.4,0.1354,0,normal
CYC_0123,464.8,17.38,3.277,0.71,55,26.8,17.972,0.839,20.467,162.45,8.935,33.1,0.1902,0,normal
CYC_0124,446.8,13.61,3.329,0.71,95,46.8,13.62,0.924,14.952,154.79,3.736,47.9,0.1746,0,normal
CYC_0125,450.8,16.95,2.693,0.5,98,40.5,17.299,1.327,19.408,128.82,5.581,48.1,0.236,0,normal
CYC_0126,417.9,15.47,3.189,0.3,97,53.6,15.327,0.762,16.263,142.08,4.591,60.6,0.1834,0,normal
CYC_0127,306.6,13.83,2.049,0.5,88,54.2,13.87,0.708,18.628,92.01,1.729,72.0,0.0572,1,combined_stress
CYC_0128,569.6,8.89,2.964,1.0,52,47.1,8.968,0.625,9.602,174.58,3.671,53.3,0.0739,0,normal
CYC_0129,545.4,12.15,2.037,0.71,78,30.5,12.018,0.651,13.906,119.54,5.809,31.6,0.1178,0,normal
CYC_0130,374.3,9.64,2.02,0.5,70,41.2,10.167,0.744,11.293,81.67,3.83,43.6,0.0612,0,normal
CYC_0131,351.2,15.62,2.405,0.5,64,31.9,16.026,0.794,17.022,86.91,4.078,35.1,0.1589,0,normal
CYC_0132,542.4,16.66,2.319,0.3,80,49.5,16.856,0.838,18.462,132.47,7.764,55.7,0.2432,0,normal
CYC_0133,304.3,11.48,1.725,1.0,63,25.8,11.93,0.895,13.887,55.2,3.213,51.2,0.4629,1,overheating
CYC_0134,543.0,16.97,1.967,0.71,95,47.2,16.919,0.56,19.063,112.79,5.232,54.0,0.1974,0,normal
CYC_0135,588.7,17.54,2.048,0.71,54,32.7,17.059,0.879,18.267,124.97,5.667,35.9,0.139,0,normal
CYC_0136,358.8,12.69,2.444,0.5,59,39.7,12.673,0.814,13.711,95.12,5.457,43.7,0.2463,0,normal
CYC_0137,570.1,9.82,2.044,0.5,59,30.1,9.757,0.799,11.84,118.75,5.379,37.9,0.0806,0,normal
CYC_0138,436.8,8.58,2.575,0.5,66,37.6,8.887,0.847,9.871,114.32,6.382,38.8,0.2139,0,normal
CYC_0139,457.4,11.29,2.298,1.0,57,45.4,11.277,0.542,12.294,109.11,2.334,47.0,0.0838,0,normal
CYC_0140,522.2,9.53,2.975,0.5,55,26.4,9.973,0.65,12.289,161.0,5.505,28.8,0.1616,0,normal
CYC_0141,342.3,10.86,1.81,1.0,74,36.8,10.616,0.233,11.971,68.3,4.076,41.6,0.2275,0,normal
CYC_0142,301.5,13.03,1.999,0.5,73,42.6,12.914,0.648,13.548,60.92,1.697,49.0,0.1447,0,normal
CYC_0143,421.7,10.17,2.921,1.0,67,28.9,10.124,0.954,10.854,130.15,6.772,50.9,0.4386,1,overheating
CYC_0144,531.3,12.64,2.836,1.0,72,49.0,12.749,0.451,13.827,158.56,7.014,52.5,0.1868,0,normal
CYC_0145,395.1,15.45,3.098,1.0,58,42.1,15.126,0.948,17.404,129.46,3.888,47.9,0.148,0,normal
CYC_0146,509.1,10.46,1.978,0.71,66,54.3,10.384,1.043,11.898,107.9,3.887,60.4,0.1194,0,normal
CYC_0147,409.9,12.94,2.296,0.71,77,53.3,12.943,0.912,14.718,97.16,5.387,57.2,0.2318,0,normal
CYC_0148,328.1,11.7,3.349,0.71,79,26.2,11.455,0.658,12.884,115.31,6.088,29.5,0.0923,0,normal
CYC_0149,597.0,17.87,3.468,0.3,92,44.5,18.217,0.288,19.344,215.79,5.713,48.2,0.1372,0,normal
CYC_0150,528.6,17.58,1.966,0.3,63,28.8,17.632,0.589,18.552,108.31,5.322,45.6,0.134,1,overheating
CYC_0151,346.8,16.96,2.973,0.5,95,48.1,16.938,0.927,18.236,109.56,4.514,50.3,0.0745,0,normal
CYC_0152,541.1,11.76,2.089,1.0,73,40.8,11.253,0.368,13.471,118.08,5.086,48.4,0.1593,0,normal
CYC_0153,498.8,17.47,2.329,0.5,61,43.8,17.318,0.667,19.683,119.53,5.543,51.7,0.058,0,normal
CYC_0154,391.3,10.93,2.683,0.71,81,27.5,11.027,1.237,12.395,109.55,2.439,32.4,0.2219,0,normal
CYC_0155,572.9,8.3,2.556,0.3,98,25.5,8.553,2.089,13.926,156.57,4.811,28.5,0.1987,1,tension_spike
CYC_0156,475.7,13.33,3.262,0.3,86,37.3,13.392,1.029,15.855,165.02,8.478,40.7,0.1119,0,normal
CYC_0157,479.6,16.26,2.713,0.3,89,34.7,16.282,0.94,17.682,136.8,4.566,37.8,0.0829,0,normal
CYC_0158,494.9,16.06,3.331,1.0,71,38.6,16.105,0.881,17.307,174.19,7.564,40.0,0.1913,0,normal
CYC_0159,445.6,13.05,2.088,0.71,67,35.9,13.432,0.993,18.711,127.04,5.78,49.3,0.1912,1,combined_stress
CYC_0160,416.6,9.18,3.051,1.0,89,33.1,8.819,0.841,10.651,132.28,5.588,39.7,0.1185,0,normal
CYC_0161,386.9,14.13,2.681,0.71,64,27.4,13.771,0.824,16.023,107.89,2.912,28.4,0.1115,0,normal
CYC_0162,346.9,9.24,2.031,1.0,74,32.3,9.331,0.955,11.444,76.54,4.411,36.5,0.223,0,normal
CYC_0163,828.8,11.48,2.12,0.5,86,26.2,11.87,1.425,14.125,94.02,5.529,29.4,0.2209,1,speed_instability
CYC_0164,313.9,9.17,2.404,0.5,58,37.3,9.231,0.978,11.208,81.15,3.806,42.5,0.1254,0,normal
CYC_0165,588.6,8.52,2.915,0.5,69,32.3,8.79,0.805,11.589,265.34,6.695,42.6,0.1852,1,combined_stress
CYC_0166,377.3,14.2,1.599,1.0,74,47.1,14.387,2.445,19.504,61.42,3.488,49.7,0.0503,1,tension_spike
CYC_0167,359.9,12.42,2.193,0.3,57,36.9,12.808,0.569,13.491,79.24,2.314,39.2,0.0898,0,normal
CYC_0168,559.9,8.11,3.351,0.71,60,38.4,8.289,0.773,9.166,195.79,8.395,40.2,0.0748,0,normal
CYC_0169,847.0,15.16,2.085,0.71,91,27.7,15.246,1.169,16.603,101.34,11.564,33.7,0.1747,1,speed_instability
CYC_0170,368.6,17.5,2.019,0.3,78,35.2,17.715,1.011,19.226,76.57,2.837,39.8,0.1468,0,normal
CYC_0171,329.3,16.22,2.225,0.71,63,39.2,16.254,0.593,18.219,77.38,3.626,44.9,0.2093,0,normal
CYC_0172,528.5,8.29,1.594,0.71,51,37.7,8.48,0.917,10.385,87.32,2.159,45.2,0.129,0,normal
CYC_0173,597.1,13.06,1.549,1.0,91,48.4,13.438,0.568,14.162,185.7,13.586,54.7,0.2151,1,power_surge
CYC_0174,567.8,17.87,3.027,0.71,62,27.4,17.915,0.998,20.091,178.56,7.144,31.8,0.1608,0,normal
CYC_0175,490.0,8.45,2.604,0.71,64,38.6,8.162,0.996,9.669,136.34,3.002,39.7,0.0912,0,normal
CYC_0176,352.3,17.5,2.025,0.3,55,51.1,16.774,0.477,18.113,75.76,2.47,53.1,0.2414,0,normal
CYC_0177,504.9,11.97,2.02,0.3,73,50.9,11.795,0.468,12.845,106.62,2.474,57.9,0.0918,0,normal
CYC_0178,334.0,17.8,3.042,1.0,69,36.7,17.832,0.684,19.589,103.85,5.706,43.1,0.1004,0,normal
CYC_0179,385.5,14.18,1.913,0.5,89,47.3,14.31,0.54,16.025,79.61,2.622,52.6,0.1638,0,normal
CYC_0180,320.8,16.21,2.074,1.0,56,38.6,16.47,0.677,17.97,69.47,3.511,44.8,0.1152,0,normal
CYC_0181,597.2,9.53,1.635,0.3,54,45.8,9.395,0.485,10.966,104.64,4.462,48.8,0.2371,0,normal
CYC_0182,404.8,12.74,1.683,0.71,53,49.9,12.566,0.759,14.776,70.6,3.37,55.6,0.1963,0,normal
CYC_0183,596.4,10.24,3.123,0.5,85,26.2,10.43,0.723,16.383,418.21,9.609,42.0,0.0632,1,combined_stress
CYC_0184,450.5,17.82,2.356,0.71,86,45.0,17.61,0.573,19.494,110.74,5.819,50.7,0.2341,0,normal
CYC_0185,377.6,14.07,2.591,0.71,81,47.7,14.355,0.464,15.233,102.56,2.483,64.8,0.5321,1,overheating
CYC_0186,375.5,14.06,2.608,0.5,52,38.9,14.296,1.083,15.006,102.58,4.487,43.8,0.1478,0,normal
CYC_0187,415.8,13.7,3.136,1.0,82,37.7,13.539,0.466,15.394,137.25,5.883,41.9,0.1448,0,normal
CYC_0188,540.7,16.69,1.864,0.71,99,39.4,16.865,0.803,18.25,105.38,3.347,43.2,0.1751,0,normal
CYC_0189,464.6,8.39,1.942,1.0,79,31.2,7.98,0.531,8.628,93.5,5.474,34.8,0.118,0,normal
CYC_0190,312.2,17.04,2.633,0.3,63,30.4,17.408,0.76,18.194,87.1,2.038,33.4,0.0908,0,normal
CYC_0191,653.0,11.6,3.449,0.3,67,47.4,11.677,0.716,14.14,129.17,6.426,53.5,0.1506,1,speed_instability
CYC_0192,395.7,9.5,2.58,0.3,77,27.9,9.854,0.667,11.626,106.97,2.838,33.8,0.0907,0,normal
CYC_0193,349.9,13.76,2.159,0.5,86,44.5,14.284,0.791,15.167,136.73,4.802,52.4,0.1485,1,power_surge
CYC_0194,560.1,8.8,1.584,0.5,75,51.4,8.379,0.973,10.198,91.34,3.442,57.3,0.0573,0,normal
CYC_0195,323.1,15.26,2.259,0.5,70,49.4,15.457,0.655,17.84,75.09,3.148,52.5,0.0746,0,normal
CYC_0196,589.1,15.89,3.24,1.0,55,53.3,16.033,1.053,18.033,200.14,7.173,56.5,0.1683,0,normal
CYC_0197,311.1,11.58,1.522,0.5,84,37.8,11.851,1.116,12.842,49.14,2.29,39.3,0.2024,0,normal
CYC_0198,528.2,10.77,3.16,0.3,95,42.0,10.785,0.624,12.655,175.71,3.935,48.2,0.2267,0,normal
CYC_0199,343.5,13.52,1.851,0.3,70,38.2,13.299,0.866,14.913,69.01,3.174,44.8,0.2382,0,normal
CYC_0200,571.6,16.77,2.515,0.71,53,27.9,16.562,0.815,18.946,149.53,3.347,32.2,0.1733,0,normal
CYC_0201,388.4,17.53,3.156,0.71,58,35.5,16.939,0.843,18.426,118.7,11.024,40.0,0.1017,1,speed_instability
CYC_0202,319.1,14.28,1.708,0.5,90,25.3,14.152,0.716,15.963,58.4,2.17,29.2,0.1702,0,normal
CYC_0203,578.5,16.91,2.732,0.5,96,30.3,17.125,0.889,17.965,166.39,8.001,36.6,0.1955,0,normal
CYC_0204,550.6,13.9,2.211,0.5,75,28.9,13.968,0.421,15.679,127.78,7.45,36.5,0.0873,0,normal
CYC_0205,460.7,8.15,2.279,0.5,71,43.9,8.04,0.676,9.605,109.6,4.561,49.6,0.1214,0,normal
CYC_0206,534.0,8.41,2.392,1.0,56,46.2,8.355,0.583,9.63,134.09,5.363,50.7,0.1183,0,normal
CYC_0207,567.6,8.37,2.138,0.5,94,44.2,8.52,0.492,10.344,130.91,5.832,50.5,0.1371,0,normal
CYC_0208,512.1,13.28,1.551,1.0,95,39.4,13.227,0.721,13.771,82.1,4.858,41.5,0.0797,0,normal
CYC_0209,763.3,15.04,3.17,0.3,53,28.8,14.721,1.03,16.676,153.19,8.606,34.7,0.088,1,speed_instability
CYC_0210,582.1,16.94,3.244,0.5,73,50.2,17.526,0.563,19.325,197.06,8.659,54.3,0.0904,0,normal
CYC_0211,388.3,8.87,3.249,1.0,63,39.9,9.421,0.704,11.439,129.1,4.927,41.8,0.1833,0,normal
CYC_0212,461.8,9.5,1.78,0.5,71,26.8,9.834,0.53,12.052,85.57,1.949,28.5,0.1569,0,normal
CYC_0213,431.7,15.6,3.132,0.5,84,49.4,15.621,0.322,17.81,139.17,6.049,54.6,0.1165,0,normal
CYC_0214,325.6,12.81,2.2,1.0,74,50.9,12.2,0.985,13.187,77.78,3.316,54.3,0.2168,0,normal
CYC_0215,467.0,9.28,2.201,1.0,65,52.9,9.706,0.885,11.471,109.73,4.76,60.0,0.1169,0,normal
CYC_0216,321.2,9.39,2.737,1.0,52,31.8,9.352,0.908,10.907,90.63,3.823,33.1,0.2298,0,normal
